mots actifs eligibles,,,,,,,,,
1 mai 2023 - 31 mai 2023,,,,,,,,,
Mot clé pour le Réseau de Recherche,Code de la devise,Éligible_Conversions,Éligible_Coût/conv.,Éligible_Taux de conv.,Éligible_Clics,Éligible_Impr.,Éligible_Coût,Éligible_CTR,Éligible_CPC moy.
revue scientifique enfant,EUR,0,--,0%,0,22,0,0%,--
revue scientifique jeunesse,EUR,0,--,0%,0,0,0,0%,--
revue scientifique pour jeunes,EUR,0,--,0%,0,0,0,0%,--
revues enfance,EUR,0,--,0%,0,3,0,0%,--
revues enfant,EUR,0,--,0%,0,30,0,0%,--
revues enfants,EUR,0,--,0%,1,34,"0,25","2,94%","0,25"
revues jeunesse,EUR,0,--,0%,1,23,"0,43","4,35%","0,43"
revues pour enfants,EUR,0,--,0%,4,50,"1,36",8%,"0,34"
sorcières magazine,EUR,0,--,0%,0,45,0,0%,--
Sudoku Irrégulier,EUR,0,--,0%,0,2,0,0%,--
Sudoku Super,EUR,0,--,0%,1,118,"0,74","0,85%","0,74"
sudoku ultra,EUR,0,--,0%,0,0,0,0%,--
télé cable sat abonnement,EUR,2,"20,46","5,88%",34,198,"40,91","17,17%","1,2"
télé câble sat abonnement,EUR,"1,05","46,44","2,1%",50,260,"48,73","19,23%","0,97"
télé cable satellite abonnement,EUR,1,"11,86","16,67%",6,31,"11,86","19,35%","1,98"
telecable abonnement,EUR,7,"6,88","18,92%",37,122,"48,15","30,33%","1,3"
telecable satellite abonnement,EUR,0,--,0%,1,7,"0,57","14,29%","0,57"
telecablesat abonnement,EUR,0,--,0%,35,139,"38,5","25,18%","1,1"
time abonnement,EUR,0,--,0%,1,26,"1,03","3,85%","1,03"
valeurs actuelles abonnement,EUR,0,--,0%,0,0,0,0%,--
valeurs actuelles abonnement,EUR,0,--,0%,12,126,"3,62","9,52%","0,3"
valeurs actuelles abonnement papier,EUR,0,--,0%,0,4,0,0%,--
wider magazine,EUR,0,--,0%,1,7,"0,68","14,29%","0,68"
www clients fae fr,EUR,0,--,0%,1,6,"0,52","16,67%","0,52"
www kiosque,EUR,0,--,0%,0,19,0,0%,--
www kiosque fae,EUR,0,--,0%,0,7,0,0%,--
www kiosque fae fr,EUR,0,--,0%,30,56,"17,38","53,57%","0,58"
yoga magazine abonnement,EUR,0,--,0%,1,8,"0,26","12,5%","0,26"
